,texts,labels
4872,"Their chief city was Osgili- ath, Citadel of the Stars, through the midst of which the River flowed.And Minas Ithil they built, Tower of the Rising Moon, eastward upon a shoulder of the Mountains of S","hadow; and westward at the feet of the White Mountains Minas Anor they made, Tower of the Setting Sun."
4873,"There in the courts of the King grew a white tree, from the seed of that tree which Isildur brought over the deep waters, and the seed of that tree before came from Eresse¨a, and before that out of th","e Uttermost West in the Day before days when the world was young.‘But in the wearing of the swift years of Middle-earth the line of Meneldil son of Ana´rion failed, and the Tree withered, and the blood of the Nu´meno´reans became mingled with that of lesser men."
4874,"Then thewatchuponthewallsofMordorslept,anddarkthingscreptback",
4875,"and it is called Minas Morgul, the Tower of Sorcery.",
4876,"Then Minas Anor was named anew Minas Tirith, the Tower of Guard; and these two cities were ever at war, but Osgiliath which lay between was deserted and in its ruins shadows walked.‘So it has been for", many lives of men.
4877,"But the Lords of Minas Tirith still fight on, defying our enemies, keeping the passage of the River from Argonath to the Sea.",
4878,And now that part of the tale that I shall tell is drawn to its close.,
4879,"For in the days of Isildur the Ruling Ring passed out of all knowledge, and the Three were released from its dominion.",
4880,"But now in this latter day they are in peril once more, for to our sorrow the One has been found.",
4881,"Others shall speak of its finding, for in that I played small part.’ He ceased, but at once Boromir stood up, tall and proud, before them.",
4882,"‘Give me leave, Master Elrond,’ said he, ‘first to say more of Gondor, for verily from the land of Gondor I am come.",
4883,And it would be well for all to know what passes there.,
4884,"For few, I deem, know of our deeds, and therefore guess little at their peril, if we should fail at last.‘Believe not that in the land of Gondor the blood of Nu´menor is spent, nor all its pride and d",ignity forgotten.
4885,"By our valour the wild folk of the East are still restrained, and the terror of Morgul kept at bay; and thus alone are peace and freedom maintained in the lands behind us, bulwark of the West.",
4886,"But if the passages of the River should be won, what then?",
4887,"‘Yet that hour, maybe, is not now far away.",
4888,The Nameless Enemy has arisen again.,
4889,Smoke rises once more from Orodruin that we call Mount Doom.,
4890,The power of the Black Land grows and we are hard beset.,
4891,"When the Enemy returned our folk were driven from Ithilien, our fair domain east of the River, though we kept a foothold there and strength of arms.",
4892,"But this very year, in the days of June, sudden war came upon us out of Mordor, and we were swept away.",
4893,"We were outnumbered, for Mordor has allied itself with the Easterlings and the cruel Haradrim; but it was not by numbers that we were defeated.A power was there that we have not felt before.‘Some said"," that it could be seen, like a great black horseman, a dark shadow under the moon."
4894,"Wherever he came a madness filled our foes, but fear fell on our boldest, so that horse and man gave way and fled.",
4895,"Only a remnant of our eastern force came back, destroying the last bridge that still stood amid the ruins of Osgiliath.‘I was in the company that held the bridge, until it was cast down behindus.Fouro",nlyweresavedbyswimming:mybrotherandmyself
4896,hear our name: much praise but little help.,
4897,Only from Rohan now will any men ride to us when we call.‘In this evil hour I have come on an errand over many dangerous leagues to Elrond: a hundred and ten days I have journeyed all alone.But I do n,ot seek allies in war.
4898,"The might of Elrond is in wisdom not in weapons, it is said.",
4899,I come to ask for counsel and the unravelling of hard words.,
4900,"For on the eve of the sudden assault a dream came to my brother in a troubled sleep; and afterwards a like dream came oft to him again, and once to me.‘In that dream I thought the eastern sky grew dar","k and there was a growing thunder, but in the West a pale light lingered, and out of it I heard a voice, remote but clear, crying: Seek for the Sword that was broken: In Imladris it dwells; There shall be counsels taken Stronger than Morgul-spells.There shall be shown a token That Doom is near at hand, For Isildur’s Bane shall waken, And the Halfling forth shall stand.Of these words we could understand little, and we spoke to our father, Denethor, Lord of Minas Tirith, wise in the lore of Gondor.This only would he say, that Imladris was of old the name among the Elves of a far northern dale, where Elrond the Halfelven dwelt, greatest of lore-masters."
4901,"Therefore my brother, seeing how desperate was our need, was eager to heed the dream and seek for Imladris; but since the way was full of doubt and danger, I took the journey upon myself.",
4902,"Loth was my father to give me leave, and long have I wandered by roads forgotten, seeking the house of Elrond, of which many had heard, but few knew where it lay.’ ‘And here in the house of Elrond mor","e shall be made clear to you,’ said Aragorn, standing up."
4903,"He cast his sword upon the table that stood before Elrond, and the blade was in two pieces.",
4904,"‘Here is the Sword that was Broken!’ he said.‘And who are you, and what have you to do with Minas Tirith?’ asked Boromir, looking in wonder at the lean face of the Ranger and his weather-stained cloak",".‘He is Aragorn son of Arathorn,’ said Elrond; ‘and he is descended through many fathers from Isildur Elendil’s son of Minas Ithil."
4905,He,
4906,"‘Then it belongs to you, and not to me at all!’ cried Frodo in amazement, springing to his feet, as if he expected the Ring to be demanded at once.‘It does not belong to either of us,’ said Aragorn; ‘","but it has been ordained that you should hold it for a while.’ ‘Bring out the Ring, Frodo!’ said Gandalf solemnly."
4907,‘The time has come.,
4908,"Hold it up, and then Boromir will understand the remainder of his riddle.’ There was a hush, and all turned their eyes on Frodo.",
4909,"He was shaken by a sudden shame and fear; and he felt a great reluctance to reveal the Ring, and a loathing of its touch.",
4910,He wished he was far away.,
4911,The Ring gleamed and flickered as he held it up before them in his trembling hand.‘Behold Isildur’s Bane!’ said Elrond.Boromir’s eyes glinted as he gazed at the golden thing.,
4912,‘The Halfling!’ he muttered.,
4913,‘Is then the doom of Minas Tirith come at last?,
4914,"But why then should we seek a broken sword?’ ‘The words were not the doom of Minas Tirith,’ said Aragorn.",
4915,‘But doom and great deeds are indeed at hand.,
4916,For the Sword that was Broken is the Sword of Elendil that broke beneath him when he fell.It has been treasured by his heirs when all other heirlooms were lost; for it was spoken of old among us that ,"it should be made again when the Ring, Isildur’s Bane, was found."
4917,"Now you have seen the sword that you have sought, what would you ask?",
4918,"Do you wish for the House of Elendil to return to the Land of Gondor?’ ‘I was not sent to beg any boon, but to seek only the meaning of a riddle,’ answered Boromir proudly.",
4919,"‘Yet we are hard pressed, and the Sword of Elendil would be a help beyond our hope – if such a thing could indeed return out of the shadows of the past.’ He looked again at Aragorn, and doubt was in h",is eyes.Frodo felt Bilbo stir impatiently at his side.
4920,Evidently he was annoyed on his friend’s behalf.,
4921,"Standing suddenly up he burst out: All that is gold does not glitter, Not all those who wander are lost; The old that is strong does not wither, Deep roots are not reached by the frost.From the ashes ","a fire shall be woken, A light from the shadows shall spring; Renewed shall be blade that was broken:"
4922,"‘Not very good perhaps, but to the point – if you need more beyond the word of Elrond.",
4923,"If that was worth a journey of a hundred and ten days to hear, you had best listen to it.’ He sat down with a snort.‘I made that up myself,’ he whispered to Frodo, ‘for the Du´ nadan, a long time ago ",when he first told me about himself.
4924,"I almost wish that my adventures were not over, and that I could go with him when his day comes.’ Aragorn smiled at him; then he turned to Boromir again.",
4925,"‘For my part I forgive your doubt,’ he said.",
4926,‘Little do I resemble the figures of Elendil and Isildur as they stand carven in their majesty in the halls of Denethor.,
4927,"I am but the heir of Isildur, not Isildur himself.",
4928,I have had a hard life and a long; and the leagues that lie between here and Gondor are a small part in the count of my journeys.,
4929,"I have crossed many mountains and many rivers, and trodden many plains, even into the far countries of Rhuˆn and Harad where the stars are strange.‘But my home, such as I have, is in the North.",
4930,For here the heirs of Valandil have ever dwelt in long line unbroken from father unto son for many generations.,
4931,"Our days have darkened, and we have dwindled; but ever the Sword has passed to a new keeper.",
4932,"And this I will say to you, Boromir, ere I end.",
4933,"Lonely men are we, Rangers of the wild, hunters – but hunters ever of the servants of the Enemy; for they are found in many places, not in Mordor only.‘If Gondor, Boromir, has been a stalwart tower, w",e have played another part.
4934,Many evil things there are that your strong walls and bright swords do not stay.,
4935,You know little of the lands beyond your bounds.,
4936,"Peace and freedom, do you say?",
4937,The North would have known them little but for us.,
4938,Fear would have destroyed them.,
4939,"But when dark things come from the houseless hills, or creep from sunless woods, they fly from us.",
4940,"What roads would any dare to tread, what safety would there be in quiet lands, or in the homes of simple men at night, if the Du´nedain were asleep, or were all gone into the grave?",
4941,‘And yet less thanks have we than you.,
4942,"Travellers scowl at us, and countrymen give us scornful names.",
4943,"‘‘Strider’’ I am to one fat man who lives within a day’s march of foes that would freeze his heart, or lay his little town in ruin, if he were not guarded ceaselessly.",
4944,Yet we would not have it otherwise.,
4945,"If simple folk are free from care and fear, simple they will be, and we must be secret to keep them so.That has been the task of my kindred, while the years have lengthened and the grass has grown.‘Bu",t now the world is changing once again.
4946,A new hour comes.Isildur’sBaneisfound.Battleisathand.TheSwordshallbereforged.,
4947,"bright ring in the Halfling’s hand; but Isildur perished ere this age of the world began, they say.",
4948,How do the Wise know that this ring is his?,
4949,"And how has it passed down the years, until it is brought hither by so strange a messenger?’ ‘That shall be told,’ said Elrond.‘But not yet, I beg, Master!’ cried Bilbo.",
4950,"‘Already the Sun is climb- ing to noon, and I feel the need of something to strengthen me.’ ‘I had not named you,’ said Elrond smiling.",
4951,‘But I do so now.Come!,
4952,Tell us your tale.,
4953,"And if you have not yet cast your story into verse, you may tell it in plain words.",
4954,"The briefer, the sooner shall you be refreshed.’ ‘Very well,’ said Bilbo.",
4955,‘I will do as you bid.,
4956,"But I will now tell the true story, and if some here have heard me tell it otherwise’ – he looked sidelong at Glo´ in – ‘I ask them to forget it and forgive me.",
4957,"I only wished to claim the treasure as my very own in those days, and to be rid of the name of thief that was put on me.",
4958,But perhaps I understand things a little better now.,
4959,"Anyway, this is what happened.’ To some there Bilbo’s tale was wholly new, and they listened with amazement while the old hobbit, actually not at all displeased, recounted his adventure with Gollum, a",t full length.
4960,He did not omit a single riddle.,
4961,"He would have given also an account of his party and disappearance from the Shire, if he had been allowed; but Elrond raised his hand.‘Well told, my friend,’ he said, ‘but that is enough at this time.","For the moment it suffices to know that the Ring passed to Frodo, your heir."
4962,"Let him now speak!’ Then, less willingly than Bilbo, Frodo told of all his dealings with the Ring from the day that it passed into his keeping.",
4963,"Every step of his journey from Hobbiton to the Ford of Bruinen was questioned and considered, and everything that he could recall concerning the Black Riders was examined.",
4964,"At last he sat down again.‘Not bad,’ Bilbo said to him.",
4965,"‘You would have made a good story of it, if they hadn’t kept on interrupting.",
4966,"I tried to make a few notes, but we shall have to go over it all again together some time, if I am to write it up.",
4967,"There are whole chapters of stuff before you ever got here!’ ‘Yes, it made quite a long tale,’ answered Frodo.",
4968,‘But the story still does not seem complete to me.,
4969,"I still want to know a good deal, especially about Gandalf.’ GaldoroftheHavens,whosatnearby,overheardhim.‘Youspeak",
4970,"Great Ring of long debate, unlikely though that may seem to those who know less.",
4971,But may we not hear the proofs?,
4972,And I would ask this also.,
4973,What of Saruman?,
4974,"He is learned in the lore of the Rings, yet he is not among us.",
4975,"What is his counsel – if he knows the things that we have heard?’ ‘The questions that you ask, Galdor, are bound together,’ said Elrond.",
4976,"‘I had not overlooked them, and they shall be answered.",
4977,"But these things it is the part of Gandalf to make clear; and I call upon him last, for it is the place of honour, and in all this matter he has been the chief.’ ‘Some, Galdor,’ said Gandalf, ‘would t","hink the tidings of Glo´ in, and the pursuit of Frodo, proof enough that the halfling’s trove is a thing of great worth to the Enemy."
4978,Yet it is a ring.,
4979,What then?,
4980,The Nine the Nazguˆl keep.,
4981,"The Seven are taken or destroyed.’ At this Glo´in stirred, but did not speak.",
4982,‘The Three we know of.,
4983,What then is this one that he desires so much?,
4984,"‘There is indeed a wide waste of time between the River and the Mountain, between the loss and the finding.",
4985,But the gap in the know- ledge of the Wise has been filled at last.,
4986,Yet too slowly.,
4987,"For the Enemy has been close behind, closer even than I feared.",
4988,"And well is it that not until this year, this very summer, as it seems, did he learn the full truth.‘Some here will remember that many years ago I myself dared to pass the doors of the Necromancer in ","Dol Guldur, and secretly explored his ways, and found thus that our fears were true: he was none other than Sauron, our Enemy of old, at length taking shape and power again."
4989,"Some, too, will remember also that Saruman dis- suaded us from open deeds against him, and for long we watched him only.",
4990,"Yet at last, as his shadow grew, Saruman yielded, and the Council put forth its strength and drove the evil out of Mirkwood – and that was in the very year of the finding of this Ring: a strange chanc","e, if chance it was.‘But we were too late, as Elrond foresaw."
4991,"Sauron also had watched us, and had long prepared against our stroke, governing Mordor from afar through Minas Morgul, where his Nine servants dwelt, until all was ready.",
4992,"Then he gave way before us, but only feigned to flee, and soon after came to the Dark Tower and openly declared himself.Then for the last time the Council met; for now we learned that he was seeking e",ver more eagerly for the One.
4993,We feared then that he had some news of it that we knew nothing of.,
4994,"But Saruman said nay, and repeated what he had said to us before: that the One would never again be found in Middle-earth.",
4995,Fear not!,
4996,His hope will cheat him.,
4997,Have I not earnestly studied this matter?,
4998,"Into Anduin the Great it fell; and long ago, while Sauron slept, it was rolled down the River to the Sea.",
4999,"There let it lie until the End.’’ ’ Gandalf fell silent, gazing eastward from the porch to the far peaks of the Misty Mountains, at whose great roots the peril of the world had so long lain hidden.",
5000,"He sighed.‘There I was at fault,’ he said.",
5001,"‘I was lulled by the words of Saruman the Wise; but I should have sought for the truth sooner, and our peril would now be less.’ ‘We were all at fault,’ said Elrond, ‘and but for your vigilance the Da","rkness, maybe, would already be upon us."
5002,"But say on!’ ‘From the first my heart misgave me, against all reason that I knew,’ said Gandalf, ‘and I desired to know how this thing came to Gollum, and how long he had possessed it.",
5003,"So I set a watch for him, guessing that he would ere long come forth from his darkness to seek for his treasure.",
5004,"He came, but he escaped and was not found.",
5005,And then alas!,
5006,"I let the matter rest, watching and waiting only, as we have too often done.‘Time passed with many cares, until my doubts were awakened again to sudden fear.",
5007,Whence came the hobbit’s ring?,
5008,"What, if my fear was true, should be done with it?",
5009,"Those things I must decide.But I spoke yet of my dread to none, knowing the peril of an untimely whisper, if it went astray.",
5010,In all the long wars with the Dark Tower treason has ever been our greatest foe.‘That was seventeen years ago.,
5011,"Soon I became aware that spies of many sorts, even beasts and birds, were gathered round the Shire, and my fear grew.",
5012,"I called for the help of the Du´nedain, and their watch was doubled; and I opened my heart to Aragorn, the heir of Isildur.’ ‘And I,’ said Aragorn, ‘counselled that we should hunt for Gollum, too late", though it may seem.
5013,"And since it seemed fit that Isildur’s heir should labour to repair Isildur’s fault, I went with Gandalf on the long and hopeless search.’ Then Gandalf told how they had explored the whole length of W","ilderland, down even to the Mountains of Shadow and the fences of Mordor."
5014,"‘There we had rumour of him, and we guess that he dwelt there long in the dark hills; but we never found him, and at last I despaired.",
5015,And then in my despair I thought again of a test that might make the finding of Gollum unneeded.,
5016,The ring itself might tell if it were the One.,
5017,The memory of words at the Council,
5018,"‘ ‘‘The Nine, the Seven, and the Three,’’ he said, ‘‘had each their proper gem.",
5019,Not so the One.,
5020,"It was round and unadorned, as it were one of the lesser rings; but its maker set marks upon it that the skilled, maybe, could still see and read.’’ ‘What those marks were he had not said.",
5021,Who now would know?,
5022,The maker.,
5023,And Saruman?,
5024,"But great though his lore may be, it must have a source.",
5025,"What hand save Sauron’s ever held this thing, ere it was lost?",
5026,"The hand of Isildur alone.‘With that thought, I forsook the chase, and passed swiftly to Gondor.",
5027,"In former days the members of my order had been well received there, but Saruman most of all.",
5028,Often he had been for long the guest of the Lords of the City.,
5029,"Less welcome did the Lord Denethor show me then than of old, and grudgingly he permitted me to search among his hoarded scrolls and books.‘ ‘‘If indeed you look only, as you say, for records of ancien","t days, and the beginnings of the City, read on!’’ he said."
5030,"‘‘For to me what was is less dark than what is to come, and that is my care.",
5031,"But unless you have more skill even than Saruman, who has studied here long, you will find naught that is not well known to me, who am master of the lore of this City.’’ ‘So said Denethor.",
5032,"And yet there lie in his hoards many records that few even of the lore-masters now can read, for their scripts and tongues have become dark to later men.",
5033,"And Boromir, there lies in Minas Tirith still, unread, I guess, by any save Saruman and myself since the kings failed, a scroll that Isildur made himself.",
5034,"For Isildur did not march away straight from the war in Mordor, as some have told the tale.’ ‘Some in the North, maybe,’ Boromir broke in.",
5035,"‘All know in Gondor that he went first to Minas Anor and dwelt a while with his nephew Meneldil, instructing him, before he committed to him the rule of the South Kingdom.",
5036,"In that time he planted there the last sapling of the White Tree in memory of his brother.’ ‘But in that time also he made this scroll,’ said Gandalf; ‘and that is not remembered in Gondor, it would s",eem.
5037,"For this scroll concerns the Ring, and thus wrote Isildur therein: The Great Ring shall go now to be an heirloom of the North Kingdom; but records of it shall be left in Gondor, where also dwell the h","eirs of Elendil, lest a time come when the memory of these great matters shall grow dim.‘And after these words Isildur described the Ring, such as he found it."
5038,"even as I write it is cooled, and it seemeth to shrink, though it loseth neither its beauty nor its shape.",
5039,"Already the writing upon it, which at first was as clear as red flame, fadeth and is now only barely to be read.",
5040,"It is fashioned in an elven-script of Eregion, for they have no letters in Mordor for such subtle work; but the language is unknown to me.",
5041,"I deem it to be a tongue of the Black Land, since it is foul and uncouth.",
5042,"What evil it saith I do not know; but I trace here a copy of it, lest it fade beyond recall.The Ring misseth, maybe, the heat of Sauron’s hand, which was black and yet burned like fire, and so Gil-gal","ad was destroyed; and maybe were the gold made hot again, the writing would be refreshed."
5043,"But for my part I will risk no hurt to this thing: of all the works of Sauron the only fair.It is precious to me, though I buy it with great pain.‘When I read these words, my quest was ended.",
5044,"For the traced writing was indeed as Isildur guessed, in the tongue of Mordor and the servants of the Tower.",
5045,And what was said therein was already known.,
5046,"For in the day that Sauron first put on the One, Celebrimbor, maker of the Three, was aware of him, and from afar he heard him speak these words, and so his evil purposes were revealed.‘At once I took"," my leave of Denethor, but even as I went north- wards, messages came to me out of Lo´ rien that Aragorn had passed that way, and that he had found the creature called Gollum."
5047,There- fore I went first to meet him and hear his tale.,
5048,"Into what deadly perils he had gone alone I dared not guess.’ ‘There is little need to tell of them,’ said Aragorn.",
5049,"‘If a man must needs walk in sight of the Black Gate, or tread the deadly flowers of Morgul Vale, then perils he will have.",
5050,"I, too, despaired at last, and I began my homeward journey.",
5051,"And then, by fortune, I came sud- denly on what I sought: the marks of soft feet beside a muddy pool.But now the trail was fresh and swift, and it led not to Mordor but away.",
5052,"Along the skirts of the Dead Marshes I followed it, and then I had him.",
5053,"Lurking by a stagnant mere, peering in the water as the dark eve fell, I caught him, Gollum.",
5054,"He was covered with green slime.He will never love me, I fear; for he bit me, and I was not gentle.Nothing more did I ever get from his mouth than the marks of his teeth.",
5055,"I deemed it the worst part of all my journey, the road back, watching him day and night, making him walk before me with a halter on his neck, gagged, until he was tamed by lack of drink and food, driv",ing him ever towards Mirkwood.
5056,"I brought him there at last and gave him to the Elves, for we had agreed that this should be done; and I was glad to be rid of his company, for he stank.",
5057,For my part I hope never to look upon him again; but Gandalf came and,
5058,"one thing, the tale he told of his loss agreed with that which Bilbo has now told openly for the first time; but that mattered little, since I had already guessed it.",
5059,But I learned then first that Gollum’s ring came out of the Great River nigh to the Gladden Fields.,
5060,And I learned also that he had possessed it long.,
5061,Many lives of his small kind.,
5062,"The power of the ring had lengthened his years far beyond their span; but that power only the Great Rings wield.‘And if that is not proof enough, Galdor, there is the other test that I spoke of.",
5063,"Upon this very ring which you have here seen held aloft, round and unadorned, the letters that Isildur reported may still be read, if one has the strength of will to set the golden thing in the fire a", while.
5064,"That I have done, and this I have read: Ash nazg durbatuluˆk, ash nazg gimbatul, ash nazg thrakatuluˆk agh burzum-ishi krimpatul.’ The change in the wizard’s voice was astounding.",
5065,"Suddenly it became menacing, powerful, harsh as stone.",
5066,"A shadow seemed to pass over the high sun, and the porch for a moment grew dark.",
5067,"All trembled, and the Elves stopped their ears.‘Never before has any voice dared to utter words of that tongue in Imladris, Gandalf the Grey,’ said Elrond, as the shadow passed and the company breathe","d once more.‘And let us hope that none will ever speak it here again,’ answered Gandalf."
5068,"‘Nonetheless I do not ask your pardon, Master Elrond.",
5069,"For if that tongue is not soon to be heard in every corner of the West, then let all put doubt aside that this thing is indeed what the Wise have declared: the treasure of the Enemy, fraught with all ",his malice; and in it lies a great part of his strength of old.
5070,"Out of the Black Years come the words that the Smiths of Eregion heard, and knew that they had been betrayed: One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the Da","rkness bind them.‘Know also, my friends, that I learned more yet from Gollum."
5071,"He was loth to speak and his tale was unclear, but it is beyond all doubt that he went to Mordor, and there all that he knew was forced from him.",
5072,"Thus the Enemy knows now that the One is found, that it was long in the Shire; and since his servants have pursued it almost to our door, he soon will know, already he may know, even as I speak,",
5073,"All sat silent for a while, until at length Boromir spoke.",
5074,"‘He is a small thing, you say, this Gollum?",
5075,"Small, but great in mischief.",
5076,What became of him?,
5077,"To what doom did you put him?’ ‘He is in prison, but no worse,’ said Aragorn.",
5078,‘He had suffered much.,
5079,"There is no doubt that he was tormented, and the fear of Sauron lies black on his heart.",
5080,Still I for one am glad that he is safely kept by the watchful Elves of Mirkwood.,
5081,"His malice is great and gives him a strength hardly to be believed in one so lean and withered.He could work much mischief still, if he were free.",
5082,And I do not doubt that he was allowed to leave Mordor on some evil errand.’ ‘Alas!,
5083,"alas!’ cried Legolas, and in his fair Elvish face there was great distress.",
5084,"‘The tidings that I was sent to bring must now be told.They are not good, but only here have I learned how evil they may seem to this company.",
5085,"Sme´agol, who is now called Gollum, has escaped.’ ‘Escaped?’ cried Aragorn.",
5086,‘That is ill news indeed.,
5087,"We shall all rue it bitterly, I fear.",
5088,"How came the folk of Thranduil to fail in their trust?’ ‘Not through lack of watchfulness,’ said Legolas; ‘but perhaps through over-kindliness.",
5089,"And we fear that the prisoner had aid from others, and that more is known of our doings than we could wish.We guarded this creature day and night, at Gandalf ’s bidding, much though we wearied of the ",task.
5090,"But Gandalf bade us hope still for his cure, and we had not the heart to keep him ever in dungeons under the earth, where he would fall back into his old black thoughts.’ ‘You were less tender to me,’"," said Glo´ in with a flash of his eyes, as old memories were stirred of his imprisonment in the deep places of the Elven-king’s halls.‘Now come!’ said Gandalf."
5091,"‘Pray, do not interrupt, my good Glo´ in.That was a regrettable misunderstanding, long set right.",
5092,"If all the grievances that stand between Elves and Dwarves are to be brought up here, we may as well abandon this Council.’ Glo´in rose and bowed, and Legolas continued.",
5093,‘In the days of fair weather we led Gollum through the woods; and there was a high tree standing alone far from the others which he liked to climb.,
5094,"Often we let him mount up to the highest branches, until he felt the free wind; but we set a guard at the tree’s foot.",
5095,"One day he refused to come down, and the guards had no mind to climb after him: he had learned the trick of clinging to boughs with his feet as well as with his hands; so they sat by the tree far into"," the night.‘It was that very night of summer, yet moonless and starless, that"
5096,and were unused to the woods.,
5097,"When the battle was over, we found that Gollum was gone, and his guards were slain or taken.",
5098,"It then seemed plain to us that the attack had been made for his rescue, and that he knew of it beforehand.",
5099,"How that was contrived we cannot guess; but Gollum is cunning, and the spies of the Enemy are many.The dark things that were driven out in the year of the Dragon’s fall have returned in greater number","s, and Mirkwood is again an evil place, save where our realm is maintained.‘We have failed to recapture Gollum."
5100,"We came on his trail among those of many Orcs, and it plunged deep into the Forest, going south.But ere long it escaped our skill, and we dared not continue the hunt; for we were drawing nigh to Dol G","uldur, and that is still a very evil place; we do not go that way.’ ‘Well, well, he is gone,’ said Gandalf."
5101,‘We have no time to seek for him again.,
5102,He must do what he will.,
5103,But he may play a part yet that neither he nor Sauron have foreseen.‘And now I will answer Galdor’s other questions.,
5104,What of Saruman?,
5105,What are his counsels to us in this need?,
5106,"This tale I must tell in full, for only Elrond has heard it yet, and that in brief; but it will bear on all that we must resolve.",
5107,"It is the last chapter in the Tale of the Ring, so far as it has yet gone.‘At the end of June I was in the Shire, but a cloud of anxiety was on my mind, and I rode to the southern borders of the littl","e land; for I had a foreboding of some danger, still hidden from me but drawing near."
5108,"There messages reached me telling me of war and defeat in Gondor, and when I heard of the Black Shadow a chill smote my heart.",
5109,But I found nothing save a few fugitives from the South; yet it seemed to me that on them sat a fear of which they would not speak.,
5110,I turned then east and north and journeyed along the Greenway; and not far from Bree I came upon a traveller sitting on a bank beside the road with his grazing horse beside him.,
5111,"It was Radagast the Brown, who at one time dwelt at Rhosgobel, near the borders of Mirkwood.",
5112,"He is one of my order, but I had not seen him for many a year.‘ ‘‘Gandalf !’’ he cried.",
5113,‘‘I was seeking you.,
5114,But I am a stranger in these parts.,
5115,"All I knew was that you might be found in a wild region with the uncouth name of Shire.’’ ‘ ‘‘Your information was correct,’’ I said.",
5116,"‘‘But do not put it that way, if you meet any of the inhabitants.",
5117,You are near the borders of the Shire now.,
5118,And what do you want with me?,
5119,"It must be pressing.You were never a traveller, unless driven by great need.’’",
5120,whispered.,
5121,‘‘The Nine are abroad again.,
5122,They have crossed the River secretly and are moving westward.,
5123,"They have taken the guise of riders in black.’’ ‘I knew then what I had dreaded without knowing it.‘ ‘‘The Enemy must have some great need or purpose,’’ said Rada- gast; ‘‘but what it is that makes hi","m look to these distant and desolate parts, I cannot guess.’’ ‘ ‘‘What do you mean?’’ said I.‘ ‘‘I have been told that wherever they go the Riders ask for news of a land called Shire.’’ ‘‘‘The Shire,’’ I said; but my heart sank."
5124,"For even the Wise might fear to withstand the Nine, when they are gathered together under their fell chieftain.",
5125,"A great king and sorcerer he was of old, and now he wields a deadly fear.",
5126,"‘‘Who told you, and who sent you?’’ I asked.‘ ‘‘Saruman the White,’’ answered Radagast.",
5127,"‘‘And he told me to say that if you feel the need, he will help; but you must seek his aid at once, or it will be too late.’’ ‘And that message brought me hope.",
5128,For Saruman the White is the greatest of my order.,
5129,"Radagast is, of course, a worthy Wizard, a master of shapes and changes of hue; and he has much lore of herbs and beasts, and birds are especially his friends.",
5130,"But Saruman has long studied the arts of the Enemy himself, and thus we have often been able to forestall him.",
5131,It was by the devices of Saruman that we drove him from Dol Guldur.,
5132,"It might be that he had found some weapons that would drive back the Nine.‘ ‘‘I will go to Saruman,’’ I said.‘ ‘‘Then you must go now,’’ said Radagast; ‘‘for I have wasted time in looking for you, and", the days are running short.
5133,"I was told to find you before Midsummer, and that is now here.",
5134,"Even if you set out from this spot, you will hardly reach him before the Nine discover the land that they seek.",
5135,I myself shall turn back at once.’’ And with that he mounted and would have ridden straight off.‘ ‘‘Stay a moment!’’ I said.,
5136,"‘‘We shall need your help, and the help of all things that will give it.",
5137,Send out messages to all the beasts and birds that are your friends.,
5138,Tell them to bring news of anything that bears on this matter to Saruman and Gandalf.,
5139,"Let messages be sent to Orthanc.’’ ‘ ‘‘I will do that,’’ he said, and rode off as if the Nine were after him.‘I could not follow him then and there.",
5140,"I had ridden very far already that day, and I was as weary as my horse; and I needed to",
5141,"‘However, I wrote a message to Frodo, and trusted to my friend the innkeeper to send it to him.",
5142,I rode away at dawn; and I came at long last to the dwelling of Saruman.,
5143,"That is far south in Isengard, in the end of the Misty Mountains, not far from the Gap of Rohan.And Boromir will tell you that that is a great open vale that lies between the Misty Mountains and the n","orthmost foothills of Ered Nimrais, the White Mountains of his home."
5144,"But Isengard is a circle of sheer rocks that enclose a valley as with a wall, and in the midst of that valley is a tower of stone called Orthanc.",
5145,"It was not made by Saruman, but by the Men of Nu´menor long ago; and it is very tall and has many secrets; yet it looks not to be a work of craft.",
5146,"It cannot be reached save by passing the circle of Isengard; and in that circle there is only one gate.‘Late one evening I came to the gate, like a great arch in the wall of rock; and it was strongly ",guarded.
5147,But the keepers of the gate were on the watch for me and told me that Saruman awaited me.,
5148,"I rode under the arch, and the gate closed silently behind me, and suddenly I was afraid, though I knew no reason for it.‘But I rode to the foot of Orthanc, and came to the stair of Saruman; and there"," he met me and led me up to his high chamber.He wore a ring on his finger.‘ ‘‘So you have come, Gandalf,’’ he said to me gravely; but in his eyes there seemed to be a white light, as if a cold laughter was in his heart.‘ ‘‘Yes, I have come,’’ I said."
5149,"‘‘I have come for your aid, Saruman the White.’’ And that title seemed to anger him.‘ ‘‘Have you indeed, Gandalf the Grey!’’ he scoffed.",
5150,‘‘For aid?,
5151,"It has seldom been heard of that Gandalf the Grey sought for aid, one so cunning and so wise, wandering about the lands, and concerning himself in every business, whether it belongs to him or not.’’ ‘",I looked at him and wondered.
5152,"‘‘But if I am not deceived,’’ said I, ‘‘things are now moving which will require the union of all our strength.’’ ‘ ‘‘That may be so,’’ he said, ‘‘but the thought is late in coming to you.",
5153,"How long, I wonder, have you concealed from me, the head of the Council, a matter of greatest import?",
5154,"What brings you now from your lurking-place in the Shire?’’ ‘ ‘‘The Nine have come forth again,’’ I answered.",
5155,‘‘They have crossed the River.,
